cdhit_id,rf,lyme
-5020,0,1
-5018,0,1
-5017,0,1
-5016,0,1
-5015,0,1
-5014,0,1
-5013,0,1
-5011,0,1
-1372,0,1
-1216,1,0
-1037,1,0
-664,1,0
-420,1,0
3,0,5
4,10,34
7,0,2
9,10,32
11,10,36
12,10,35
13,0,1
14,10,37
15,11,35
16,10,34
18,10,36
19,10,35
20,11,35
22,9,33
24,10,33
26,10,36
28,10,33
29,10,34
30,9,35
31,10,35
32,10,34
33,10,34
34,10,35
36,11,34
38,10,36
39,10,34
40,11,35
41,10,34
42,10,34
43,10,35
44,10,35
45,10,35
47,10,34
48,10,34
49,10,34
50,10,34
51,10,36
52,10,36
54,11,34
55,9,34
57,10,35
58,10,34
59,8,34
60,10,36
63,11,34
64,10,34
65,10,35
66,10,34
67,10,33
68,1,0
70,11,34
71,10,34
72,10,34
74,10,34
75,10,34
77,10,34
78,9,34
79,9,34
80,10,34
81,11,34
82,10,34
83,10,34
84,10,34
85,10,34
86,11,0
87,10,35
88,10,35
89,11,35
90,10,35
91,10,33
92,9,35
93,11,35
94,10,35
95,10,35
96,10,34
97,0,34
99,10,33
100,10,34
101,10,36
102,10,34
104,10,34
105,10,34
106,9,36
107,10,34
108,10,34
110,10,35
111,10,35
112,10,36
113,11,38
114,9,35
115,10,34
116,10,35
117,10,34
119,10,35
121,10,34
123,10,34
124,10,34
125,10,33
126,10,34
127,10,34
128,0,1
129,10,34
130,11,34
132,10,33
133,10,34
134,10,34
135,10,34
136,11,33
137,10,36
138,10,34
139,10,34
140,10,36
141,10,35
142,10,34
143,10,35
144,10,35
145,9,30
146,10,35
147,8,34
148,10,34
150,9,34
151,10,34
152,10,34
153,10,34
154,10,34
156,10,37
157,10,34
159,21,100
160,10,35
161,10,34
162,10,34
163,10,34
167,0,1
168,10,0
169,10,35
170,10,34
171,10,34
173,10,30
174,9,34
175,10,34
176,10,33
177,10,33
178,9,34
179,9,0
182,11,0
183,10,34
184,10,34
185,10,35
186,11,34
187,10,25
188,10,33
189,11,34
190,10,34
191,4,32
192,10,31
193,10,35
194,10,34
195,11,36
196,10,35
197,10,35
198,9,37
199,10,34
201,9,34
202,10,34
203,10,34
204,10,35
205,9,34
206,10,34
207,9,35
208,9,34
209,10,35
210,10,34
211,10,34
212,10,34
213,10,0
214,10,32
215,10,36
216,10,35
218,11,34
219,10,34
220,10,36
221,10,34
222,10,35
223,10,35
224,10,34
226,10,34
227,10,0
228,10,27
229,10,34
230,10,35
231,10,34
232,10,34
233,9,33
235,11,35
236,10,34
237,9,34
238,9,36
239,10,35
240,7,0
241,10,0
242,10,35
243,10,35
244,10,34
245,10,33
246,11,35
247,10,35
248,10,35
249,10,33
250,10,36
251,3,0
252,10,34
253,10,34
254,10,0
255,10,34
258,10,34
259,10,34
260,10,34
261,10,34
262,10,34
264,10,35
265,10,0
266,10,33
267,10,34
268,10,34
269,10,0
272,11,34
273,10,34
275,0,34
276,10,34
277,4,34
279,10,34
281,10,34
283,10,34
285,10,34
286,10,34
287,10,35
288,10,35
289,10,34
290,10,34
292,10,34
