cdhit_id	rf	lyme	locus
1000	0	1	BbuJD1_0901
1007	0	1	BbuJD1_0903
1034	0	2	BbuJD1_0912
1067	0	34	BbiDN127_0429
1085	0	34	BbuJD1_0576
1120	0	1	BVAVS116_0875
1130	0	32	X921_02270
1263	0	34	BBUBOL26_0364
128	0	1	BVAVS116_0873
13	0	1	BbuJD1_0905
1345	0	27	BafHLJ01_0696
1356	0	1	Bbu156a_0002
1392	0	2	Bbu156a_0005
1397	0	22	BBU94A_0230
1583	0	3	BBU118A_0877
167	0	1	BVAVS116_0867
1836	0	25	BGAPBR_0636
275	0	34	BB_0637
3	0	5	BBU72A_0874
353	0	10	BbuZS7_0879
384	0	34	L144_00130
490	0	2	Bbu156a_0003
5005	0	16	BbuN40_0223
5007	0	33	BGAPBR_0384
5033	0	2	A7X70_00710
5040	0	2	A7X70_01110
5049	0	2	Bmayo_01115
5050	0	2	Bmayo_00685
519	0	1	BVAVS116_0872
547	0	12	BBU94A_0866
561	0	28	BB_0524
568	0	34	BBUWI9123_0569
590	0	1	BbuJD1_0900
598	0	2	BbuJD1_0908
621	0	2	A7X70_00005
632	0	2	P613_RS04250
7	0	2	BBU118A_0874
712	0	34	BBUCA8_00765
733	0	34	BG0601
830	0	35	A7X70_00255
876	0	34	A7X70_00780
882	0	2	BVAVS116_0870
889	0	34	BafPKo_0405
902	0	34	Bbu156a_0503
921	0	32	BSV1_0470
959	0	34	OY14_01995
964	0	34	OY14_02000
97	0	34	KK9_0632
974	0	35	OY14_02790
975	0	3	BBU118A_0871
986	0	34	BVAVS116_0757
999	0	34	L144_01790
68	1	0	Q7M_3
1220	2	0	Q7M_847
360	2	0	Q7M_848
398	2	0	BRE_3
430	2	0	BDU_3
1380	3	0	BHW_RS02105
251	3	0	Q7M_865
1091	4	0	X966_03845
1259	4	0	L283_RS03710
1500	4	0	BHO_RS03685
1140	5	0	X966_00120
1143	6	0	BHW_RS02595
1436	6	0	I871_03660
692	6	0	L283_RS03510
1223	7	0	L283_RS01165
240	7	0	BHO_RS02070
856	8	0	BRE_54
1108	9	0	BT0562A
1114	9	0	BRE_807
179	9	0	BHO_RS02575
507	9	0	Q7M_418
537	9	0	BT0843A
965	9	0	Q7M_130
1002	10	0	Q7M_469
1097	10	0	BDU_418
1201	10	0	BDU_444
168	10	0	X966_04065
213	10	0	BT0536A
227	10	0	BT0826A
241	10	0	X966_02105
254	10	0	BHO_RS01150
265	10	0	BT0570A
269	10	0	BHO_RS01920
306	10	0	I871_02215
400	10	0	BH0733A
401	10	0	I871_02840
440	10	0	L283_RS02165
505	10	0	Q7M_245
666	10	0	Q7M_471
697	10	0	BH0406
875	10	0	BDU_256
933	10	0	Q7M_850
182	11	0	I871_01640
450	11	0	BDU_399
86	11	0	BRE_743
