cdhit_id	locus	lyme	rf	start	stop	anno
1000	BbuJD1_0901	1	0	910363	910878	N/A
1007	BbuJD1_0903	1	0	911692	912279	Prokaryotic membrane lipoprotein lipid attachment site profile.
1034	BbuJD1_0912	2	0	922340	922801	N/A
1067	BbiDN127_0429	34	0	445151	445699	EIIB_glc: PTS system, glucose-like IIB component || Phosphotransferase system, IIB component, type 1
1085	BbuJD1_0576	34	0	589396	589920	N/A
1120	BVAVS116_0875	1	0	911403	911570	N/A
1130	X921_02270	32	0	484649	485068	N/A
1263	BBUBOL26_0364	34	0	201670	202050	N/A
128	BVAVS116_0873	1	0	909711	910133	PP-loop family || tRNA(Ile)-lysidine/2-thiocytidine synthase
13	BbuJD1_0905	1	0	914633	918361	Borrelia burgdorferi protein of unknown function (DUF792) || Protein of unknown function DUF792, Borrelia species
1345	BafHLJ01_0696	27	0	664437	664754	Borrelia membrane protein P13 || Borrelia membrane P13
1356	Bbu156a_0002	1	0	581	769	Putative plasmid partition protein || Plasmid partition protein
1392	Bbu156a_0005	2	0	3722	4009	N/A
1397	BBU94A_0230	22	0	8987	9271	IMP_dehydrog: inosine-5'-monophosphate dehydrogenase || Inosine-5'-monophosphate dehydrogenase
1583	BBU118A_0877	3	0	1969	2166	N/A
167	BVAVS116_0867	1	0	905869	906843	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus || Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal
1836	BGAPBR_0636	25	0	203032	203184	Borrelia ORF-A || Borrelia plasmid, OrfA
275	BB_0637	34	0	674995	676338	Uncharacterized protein family UPF0029 || Impact, N-terminal
3	BBU72A_0874	5	0	1909	2166	Terminase-like family || Terminase, large subunit
353	BbuZS7_0879	10	0	904409	905593	Metallopeptidase family M24 || Peptidase M24, structural domain
384	L144_00130	34	0	22819	23958	MatE || Multi antimicrobial extrusion protein
490	Bbu156a_0003	2	0	915	1799	Phosphoribosyl transferase domain || Phosphoribosyltransferase domain
5005	BbuN40_0223	16	0	227376	227729	N/A
5007	BGAPBR_0384	33	0	239176	240201	N/A
5033	A7X70_00710	2	0	145418	145606	N/A
5040	A7X70_01110	2	0	229377	229730	N/A
5049	Bmayo_01115	2	0	229708	229977	N/A
5050	Bmayo_00685	2	0	139095	139325	N/A
519	BVAVS116_0872	1	0	909439	909621	Flagellar basal body rod FlgEFG protein C-terminal || Flagellar basal-body/hook protein, C-terminal domain
547	BBU94A_0866	12	0	5524	6495	RF-1 domain || Peptide chain release factor class I/class II
561	BB_0524	28	0	534264	535118	N/A
568	BBUWI9123_0569	34	0	96945	97892	Ribosomal protein S2 || Ribosomal protein S2
590	BbuJD1_0900	1	0	910109	910324	N/A
598	BbuJD1_0908	2	0	919002	919856	LysM domain || LysM domain
621	A7X70_00005	2	0	222	1121	S21p: ribosomal protein S21 || Ribosomal protein S21
632	P613_RS04250	2	0	905823	906527	N/A
7	BBU118A_0874	2	0	4001	4207	Protein of unknown function (DUF685) || Protein of unknown function DUF685
712	BBUCA8_00765	34	0	158426	159142	CDP-alcohol phosphatidyltransferase || CDP-alcohol phosphatidyltransferase
733	BG0601	34	0	609072	609866	Ribosome-binding factor A || Ribosome-binding factor A
830	A7X70_00255	35	0	49018	49707	C4-dicarboxylate anaerobic carrier || C4-dicarboxylate anaerobic carrier-like
876	A7X70_00780	34	0	160540	161214	holin_BlyA: holin, BlyA family || Holin, BlyA
882	BVAVS116_0870	2	0	908527	908742	N/A
889	BafPKo_0405	34	0	416603	417280	N/A
902	Bbu156a_0503	34	0	520358	521020	KID repeat || KID repeat
921	BSV1_0470	32	0	470474	471079	Borrelia burgdorferi virulent strain associated lipoprotein || Virulent strain associated Borrelia lipoprotein
959	OY14_01995	34	0	415566	416177	Right handed beta helix region
964	OY14_02000	34	0	416188	416799	N/A
97	KK9_0632	34	0	635069	637045	KH domain || K Homology domain, type 1
